Sample Time [ns],Sensor Type,val1,val2,val3
92431708912906,3,-0.7753906,-1.3330078,-0.5786133
92431762598521,1,-1.5126953,-9.3203125,-1.8642578
92431729022522,2,196,2.3984375,-314.25
92431718912906,3,-0.76904297,-1.3457031,-0.5722656
92431772498521,1,-1.5078125,-9.3671875,-2.1699219
92431739022522,2,196,2.3984375,-314.25
92431728912906,3,-0.76171875,-1.3359375,-0.5576172
92431782398521,1,-1.5751953,-9.2734375,-2.09375
92431749022522,2,197.25,1.5,-312.25
92431738912906,3,-0.7001953,-1.3125,-0.5551758
92431792298521,1,-1.7255859,-9.5,-1.8066406
92431759022522,2,197.25,1.5,-312.25
92431748912906,3,-0.6171875,-1.3212891,-0.5522461
92431802198521,1,-1.8164062,-9.7421875,-1.6875
92431769022522,2,196.5,1.5,-314
92431758912906,3,-0.52783203,-1.34375,-0.55078125
92431812098521,1,-1.9892578,-9.9609375,-1.7070312
92431779022522,2,196.5,1.5,-314
92431768912906,3,-0.41918945,-1.34375,-0.5488281
92431821998521,1,-2.328125,-10.0234375,-1.7714844
92431789022522,2,197.25,2.3984375,-312.75
92431778912906,3,-0.39038086,-1.3349609,-0.5595703
92431831898521,1,-2.5175781,-10.0625,-1.9365234
92431799022522,2,196.5,2.0996094,-314
92431788912906,3,-0.38305664,-1.3134766,-0.546875
92431841798521,1,-2.4726562,-10.171875,-1.8046875
92431809022522,2,196.5,2.0996094,-314
92431798912906,3,-0.38623047,-1.2871094,-0.5444336
92431851698521,1,-2.1777344,-10.3515625,-1.5888672
92431819022522,2,196.125,2.0996094,-315.25
92431808912906,3,-0.36816406,-1.2666016,-0.5605469
92431861598521,1,-1.7832031,-10.28125,-1.6298828
92431829022522,2,196.125,2.0996094,-315.25
92431818912906,3,-0.31811523,-1.234375,-0.5883789
92431871498521,1,-1.3525391,-10.15625,-1.5917969
92431839022522,2,196.875,2.0996094,-312.75
92431828912906,3,-0.26489258,-1.1982422,-0.6352539
92431881398521,1,-1.0126953,-10,-1.6035156
92431849022522,2,196.875,2.0996094,-312.75
92431838912906,3,-0.21704102,-1.1777344,-0.6713867
92431891298521,1,-0.79003906,-9.8359375,-1.8525391
92431859022522,2,196,2.6992188,-314.25
92431848912906,3,-0.12451172,-1.1435547,-0.6723633
92431901198521,1,-0.5913086,-9.75,-2.1816406
92431869022522,2,196,2.6992188,-314.25
92431858912906,3,0.008506775,-1.1054688,-0.64453125
92431911098521,1,-0.46435547,-9.703125,-2.0078125
92431879022522,2,197.375,2.6992188,-313.75
92431868912906,3,0.14355469,-1.0947266,-0.6040039
92431920998521,1,-0.56933594,-9.5078125,-1.7978516
92431889022522,2,196,2.6992188,-315.5
92431878912906,3,0.18725586,-1.0976562,-0.5786133
92431930898521,1,-0.60058594,-9.453125,-1.8837891
92431899022522,2,196,2.6992188,-315.5
92431888912906,3,0.14685059,-1.1044922,-0.58496094
92431940798521,1,-0.46679688,-9.4375,-1.8857422
92431909022522,2,195.125,2.6992188,-314.5
92431898912906,3,-0.0031909943,-1.1044922,-0.59277344
92431950698521,1,-0.48828125,-9.53125,-1.7636719
92431919022522,2,195.125,2.6992188,-314.5
92431908912906,3,-0.16271973,-1.1044922,-0.5966797
92431960598521,1,-0.5957031,-9.5625,-1.7207031
92431929022522,2,196.75,3.8984375,-315.5
92431918912906,3,-0.20532227,-1.1005859,-0.5859375
92431970498521,1,-0.5288086,-9.453125,-1.8505859
92431939022522,2,196.75,3.8984375,-315.5
92431928912906,3,-0.1340332,-1.0878906,-0.5786133
92431980398521,1,-0.4260254,-9.46875,-1.8720703
92431949022522,2,195.875,3.2988281,-315.75
92431938912906,3,-0.005317688,-1.0527344,-0.55322266
92431990298521,1,-0.4404297,-9.46875,-1.8261719
92431959022522,2,195.875,3.2988281,-315.75
92431948912906,3,0.12451172,-1.0048828,-0.52246094
92432000198521,1,-0.2824707,-9.4609375,-1.7568359
92431969022522,2,196,3.5996094,-315.5
92431958912906,3,0.24255371,-0.96191406,-0.49145508
92432010098521,1,-0.083740234,-9.4609375,-1.7617188
92431979022522,2,196,3.5996094,-315.5
92431968912906,3,0.35424805,-0.9248047,-0.45214844
92432019998521,1,-0.04547119,-9.3359375,-1.71875
92431989022522,2,195.5,3.8984375,-317
92431978912906,3,0.47460938,-0.8852539,-0.39672852
92432029898521,1,-0.04547119,-9.3359375,-1.71875
92431999022522,2,197,3.8984375,-317.25
92431988912906,3,0.58496094,-0.8364258,-0.34350586
92432039798521,1,0.03111267,-9.1953125,-1.7851562
92432009022522,2,197,3.8984375,-317.25
92431998912906,3,0.6958008,-0.77685547,-0.2861328
92432049698521,1,0.08618164,-9.390625,-1.9990234
92432019022522,2,195.5,4.5,-318.75
92432008912906,3,0.8222656,-0.73095703,-0.22766113
92432059598521,1,0,-9.6796875,-1.7353516
92432029022522,2,195.5,4.5,-318.75
92432018912906,3,0.8222656,-0.73095703,-0.22766113
92432069498521,1,-0.09814453,-9.828125,-1.4238281
92432039022522,2,195.5,4.796875,-319.5
92432028912906,3,0.984375,-0.6977539,-0.18835449
92432079398521,1,-0.16516113,-10.0703125,-1.4003906
92432049022522,2,195.5,4.796875,-319.5
92432038912906,3,1.109375,-0.67333984,-0.18188477
92432089298521,1,-0.17944336,-9.9609375,-1.5722656
92432059022522,2,196.125,6,-320
92432048912906,3,1.0849609,-0.6640625,-0.18408203
92432099198521,1,-0.13879395,-9.7890625,-1.6806641
92432069022522,2,196.125,6,-320
92432058912906,3,0.9458008,-0.6489258,-0.16699219
92432109098521,1,-0.07659912,-9.7734375,-1.5361328
92432079022522,2,196.125,4.796875,-321.75
92432068912906,3,0.7265625,-0.6225586,-0.12768555
92432118998521,1,-0.1005249,-9.7109375,-1.421875
92432089022522,2,196.75,6.296875,-324
92432078912906,3,0.4819336,-0.5576172,-0.07977295
92432128898521,1,-0.30151367,-9.8359375,-1.4023438
92432099022522,2,196.75,6.296875,-324
92432088912906,3,0.20214844,-0.4350586,-0.01914978
92432138798521,1,-0.5527344,-10.328125,-1.4863281
92432109022522,2,196,6,-322
92432098912906,3,-0.059570312,-0.30322266,0.061706543
92432148698521,1,-0.8354492,-10.6328125,-1.0341797
92432119022522,2,196,6,-322
92432108912906,3,-0.13085938,-0.20324707,0.1809082
92432158598521,1,-1.1347656,-10.8125,-0.2824707
92432129022522,2,196.375,6,-322
92432118912906,3,0.015960693,-0.15319824,0.25
92432168498521,1,-1.0146484,-11.1015625,0.01675415
92432139022522,2,196.375,6,-322
92432128912906,3,0.25219727,-0.1809082,0.23400879
92432178398521,1,-0.5551758,-11.2890625,0.04788208
92432149022522,2,196.5,6,-323
92432138912906,3,0.48950195,-0.25854492,0.16271973
92432188298521,1,-0.36621094,-11.1171875,0.105285645
92432159022522,2,196.5,6,-323
92432148912906,3,0.69677734,-0.33398438,0.07873535
92432198198521,1,-0.28710938,-10.53125,-0.093322754
92432169022522,2,197.375,6.296875,-324.5
92432158912906,3,0.9013672,-0.38183594,0.00957489
92432208098521,1,-0.15551758,-10.046875,-0.20825195
92432179022522,2,196.875,6.296875,-324.75
92432168912906,3,1.1103516,-0.39575195,-0.02659607
92432217998521,1,-0.028717041,-9.890625,-0.2800293
92432189022522,2,196.875,6.296875,-324.75
92432178912906,3,1.2998047,-0.39038086,-0.029785156
92432227898521,1,0.19628906,-9.6875,-0.35424805
92432199022522,2,197,6.296875,-326.25
92432188912906,3,1.4121094,-0.38305664,-0.04788208
92432237798521,1,0.18664551,-9.4375,-0.37109375
92432209022522,2,197,6.296875,-326.25
92432198912906,3,1.3847656,-0.36816406,-0.04360962
92432247698521,1,-0.16040039,-9.375,-0.5024414
92432219022522,2,197.25,6.5976562,-326.5
92432208912906,3,1.21875,-0.34692383,-0.020217896
92432257598521,1,-0.33496094,-9.484375,-0.59814453
92432229022522,2,197.25,6.5976562,-326.5
92432218912906,3,0.96191406,-0.3330078,0.014892578
92432267498521,1,-0.57177734,-9.578125,-0.39013672
92432239022522,2,196.75,7.5,-327
92432228912906,3,0.67578125,-0.3244629,0.07873535
92432277398521,1,-0.8569336,-9.7265625,-0.296875
92432249022522,2,196.75,7.5,-327
92432238912906,3,0.40014648,-0.3330078,0.12548828
92432287298521,1,-0.87353516,-9.859375,-0.29907227
92432259022522,2,197.875,7.1992188,-328.5
92432248912906,3,0.17871094,-0.36376953,0.15319824
92432297198521,1,-0.84472656,-9.859375,-0.28955078
92432269022522,2,196.5,6.5976562,-329
92432258912906,3,0.09790039,-0.37670898,0.16271973
92432307098521,1,-0.81396484,-9.6484375,-0.2800293
92432279022522,2,196.5,6.5976562,-329
92432268912906,3,0.1595459,-0.35424805,0.15856934
92432316998521,1,-0.51953125,-9.4453125,-0.22741699
92432289022522,2,198.125,6.8984375,-328.75
92432278912906,3,0.32543945,-0.31591797,0.1394043
92432326898521,1,-0.35424805,-9.3203125,-0.34472656
92432299022522,2,198.125,6.8984375,-328.75
92432288912906,3,0.59033203,-0.28393555,0.12548828
92432336798521,1,-0.39501953,-9.2109375,-0.3972168
92432309022522,2,197.875,7.1992188,-330.25
92432298912906,3,0.9736328,-0.26489258,0.1394043
92432346698521,1,-0.32080078,-9.1796875,-0.17236328
92432319022522,2,197.875,7.1992188,-330.25
92432308912906,3,1.4121094,-0.26708984,0.1595459
92432356598521,1,-0.32080078,-9.2109375,0.04788208
92432329022522,2,197.25,7.5,-331.5
92432318912906,3,1.734375,-0.26708984,0.15637207
92432366498521,1,-0.19152832,-9.109375,-0.105285645
92432339022522,2,197.25,7.5,-331.5
92432328912906,3,1.7138672,-0.26904297,0.11065674
92432376398521,1,0.03111267,-8.9140625,-0.25854492
92432349022522,2,198.625,6.5976562,-332
92432338912906,3,1.3671875,-0.26391602,0.0925293
92432386298521,1,0.23461914,-8.7421875,-0.04547119
92432359022522,2,197.5,7.796875,-333.25
92432348912906,3,0.8491211,-0.25634766,0.0904541
92432396198521,1,0.30395508,-8.6640625,0.37573242
92432369022522,2,197.5,7.796875,-333.25
92432358912906,3,0.3190918,-0.2541504,0.07763672
92432406098521,1,0.296875,-8.9609375,0.7060547
92432379022522,2,197.75,8.09375,-334
92432368912906,3,-0.037231445,-0.2553711,0.04360962
92432415998521,1,0.37329102,-9.5546875,1.0214844
92432389022522,2,197.75,8.09375,-334
92432378912906,3,-0.14257812,-0.2722168,-0.0042533875
92432425898521,1,0.3088379,-9.9375,1.1699219
92432399022522,2,199.625,7.1992188,-334.5
92432388912906,3,-0.04788208,-0.30859375,-0.04360962
92432435798521,1,0.23693848,-9.8984375,1.1171875
92432409022522,2,199.625,7.1992188,-334.5
92432398912906,3,0.13830566,-0.35327148,-0.07019043
92432445698521,1,0.24890137,-9.6796875,0.99560547
92432419022522,2,197.25,7.796875,-335
92432408912906,3,0.2861328,-0.36914062,-0.065979004
92432455598521,1,0.1484375,-9.7109375,0.84472656
92432429022522,2,197.25,7.796875,-335
92432418912906,3,0.31811523,-0.32763672,-0.027664185
92432465498521,1,0.11010742,-9.8125,0.8183594
92432439022522,2,198.625,7.5,-333.75
92432428912906,3,0.22021484,-0.2553711,0.0340271
92432475398521,1,0.08135986,-9.828125,0.95751953
92432449022522,2,198.75,6,-334.75
92432438912906,3,0.09576416,-0.16174316,0.12023926
92432485298521,1,0.17468262,-10.0234375,1.1943359
92432459022522,2,198.75,6,-334.75
92432448912906,3,0,-0.08831787,0.18835449
92432495198521,1,0.16271973,-10.3984375,1.7070312
92432469022522,2,198.125,7.1992188,-334.75
92432458912906,3,-0.042541504,-0.059570312,0.21911621
92432505098521,1,-0.21777344,-10.65625,1.9599609
92432479022522,2,198.125,7.1992188,-334.75
92432468912906,3,0.014892578,-0.05001831,0.2084961
92432514998521,1,-0.29907227,-10.6640625,1.7470703
92432489022522,2,199.5,7.1992188,-333
92432478912906,3,0.17346191,-0.07128906,0.14685059
92432524898521,1,-0.08618164,-10.5390625,1.8808594
92432499022522,2,199.5,7.1992188,-333
92432488912906,3,0.37353516,-0.10003662,0.08300781
92432534798521,1,-0.04067993,-10.5078125,1.71875
92432509022522,2,197.5,7.5,-335.5
92432498912906,3,0.58935547,-0.1149292,0.035095215
92432544698521,1,-0.0143585205,-10.46875,1.2060547
92432519022522,2,197.5,7.5,-335.5
92432508912906,3,0.7915039,-0.10211182,-0.0031909943
92432554598521,1,0.03111267,-10.109375,0.890625
92432529022522,2,199.5,7.796875,-336
92432518912906,3,0.8520508,-0.05105591,-0.0042533875
92432564498521,1,0.35888672,-9.5234375,0.72998047
92432539022522,2,199.5,7.796875,-336
92432528912906,3,0.6821289,0.012763977,0.020217896
92432574398521,1,0.5957031,-9.328125,1.0263672
92432549022522,2,198.375,6.5976562,-336.5
92432538912906,3,0.3798828,0.0904541,0.054260254
92432584298521,1,0.7661133,-9.5546875,1.6708984
92432559022522,2,198.375,7.1992188,-335.25
92432548912906,3,0.0914917,0.14575195,0.011703491
92432594198521,1,0.9121094,-9.6484375,2.1035156
92432569022522,2,198.375,7.1992188,-335.25
92432558912906,3,-0.048950195,0.15319824,-0.13195801
92432604098521,1,0.7133789,-9.8359375,1.9033203
92432579022522,2,199.625,7.796875,-335.5
92432568912906,3,0.052124023,0.10852051,-0.2956543
92432613998521,1,0.5888672,-9.5390625,1.5195312
92432589022522,2,199.625,7.796875,-335.5
92432578912906,3,0.32763672,0.025527954,-0.4074707
92432623898521,1,0.45947266,-8.6015625,1.0458984
92432599022522,2,198.125,7.5,-336.5
92432588912906,3,0.57666016,-0.04360962,-0.46166992
92432633798521,1,0.093322754,-7.9101562,0.43310547
92432609022522,2,198.125,7.5,-336.5
92432598912906,3,0.6118164,-0.07550049,-0.44580078
92432643698521,1,-0.12207031,-7.4023438,-0.17468262
92432619022522,2,197.875,8.09375,-338.5
92432608912906,3,0.45214844,-0.07550049,-0.39257812
92432653598521,1,-0.04788208,-7.0429688,-0.19152832
92432629022522,2,197.875,8.09375,-338.5
92432618912906,3,0.22021484,-0.035095215,-0.30541992
92432663498521,1,0.16992188,-6.9414062,-0.06463623
92432639022522,2,197.75,7.5,-339
92432628912906,3,-0.011703491,0.04043579,-0.22766113
92432673398521,1,0.4428711,-7.265625,0.05984497
92432649022522,2,197.75,7.5,-339
92432638912906,3,-0.2064209,0.12768555,-0.19152832
92432683298521,1,0.4189453,-7.6484375,0.39257812
92432659022522,2,197.75,7.5,-339
92432648912906,3,-0.2956543,0.2010498,-0.14782715
92432693198521,1,0.15795898,-7.8789062,0.7373047
92432669022522,2,197.75,8.09375,-337.75
92432658912906,3,-0.25,0.23730469,-0.11810303
92432703098521,1,-0.13635254,-8.171875,0.9428711
92432679022522,2,197.75,8.09375,-337.75
92432668912906,3,-0.111694336,0.23400879,-0.07550049
92432712998521,1,-0.15075684,-8.2421875,0.99316406
92432689022522,2,196.75,8.3984375,-337
92432678912906,3,0.056396484,0.22338867,-0.029785156
92432722898521,1,0.0143585205,-8.109375,0.90966797
92432699022522,2,196.75,8.3984375,-337
92432688912906,3,0.16699219,0.21594238,0.0042533875
92432732798521,1,0.23937988,-8.0078125,0.6845703
92432709022522,2,196.875,7.796875,-337.5
92432698912906,3,0.16271973,0.22131348,0.0287323
92432742698521,1,0.45239258,-7.9921875,0.5673828
92432719022522,2,196.875,7.796875,-337.5
92432708912906,3,0.08087158,0.2626953,0.039367676
92432752598521,1,0.6459961,-8.09375,0.49072266
92432729022522,2,196.875,7.796875,-338
92432718912906,3,-0.03829956,0.33081055,0.046813965
92432762498521,1,0.8808594,-8.3984375,0.34472656
92432739022522,2,196.75,7.5,-336
92432728912906,3,-0.17443848,0.4033203,0.041503906
92432772398521,1,0.89746094,-8.7734375,0.17944336
92432749022522,2,196.75,7.5,-336
92432738912906,3,-0.25732422,0.4638672,0.04360962
92432782298521,1,0.89746094,-8.7734375,0.17944336
92432759022522,2,197.75,8.09375,-336
92432748912906,3,-0.25952148,0.5053711,0.06384277
92432792198521,1,0.37329102,-9.2109375,0.18188477
92432769022522,2,197.75,8.09375,-336
92432758912906,3,-0.23730469,0.55322266,0.09362793
92432802098521,1,0.37329102,-9.2109375,0.18188477
92432779022522,2,196.875,8.09375,-335
92432768912906,3,-0.26904297,0.60546875,0.10748291
92432811998521,1,0.10772705,-9.2578125,0.14123535
92432789022522,2,196.875,8.09375,-335
92432778912906,3,-0.33398438,0.66064453,0.12548828
92432821898521,1,0.19152832,-9.1640625,0.18188477
92432799022522,2,196.875,7.5,-335
92432788912906,3,-0.37231445,0.7182617,0.14355469
92432831798521,1,0.09094238,-9.2578125,0.40454102
92432809022522,2,196.875,7.5,-335
92432798912906,3,-0.37231445,0.7182617,0.14355469
92432841698521,1,0.1315918,-9.4375,0.6557617
92432819022522,2,197.75,8.09375,-334
92432808912906,3,-0.37353516,0.75,0.12976074
92432851598521,1,0.7441406,-9.2265625,0.57177734
92432829022522,2,197,7.1992188,-335.25
92432818912906,3,-0.34155273,0.7788086,0.07763672
92432861498521,1,0.9765625,-8.921875,0.20581055
92432839022522,2,197,7.1992188,-335.25
92432828912906,3,-0.27539062,0.8574219,0.044677734
92432871398521,1,0.31591797,-9.234375,-0.12683105
92432849022522,2,198.125,6.5976562,-333
92432838912906,3,-0.12658691,0.9477539,0.07128906
92432881298521,1,-0.01197052,-9.4296875,-0.07421875
92432859022522,2,198.125,6.5976562,-333
92432848912906,3,0.16918945,1.0185547,0.1394043
92432891198521,1,-0.12683105,-9.125,0.6894531
92432869022522,2,197.375,7.5,-334
92432858912906,3,0.58496094,1.1357422,0.2265625
92432901098521,1,-0.36376953,-8.90625,0.28955078
92432879022522,2,197.375,7.5,-334
92432868912906,3,0.8066406,1.3095703,0.2319336
92432910998521,1,-0.1484375,-8.9921875,0.2800293
92432889022522,2,197.25,7.1992188,-333.25
92432878912906,3,0.6777344,1.4023438,0.1850586
92432920898521,1,0.36376953,-8.625,0.80908203
92432899022522,2,197.25,7.1992188,-333.25
92432888912906,3,0.2956543,1.4443359,0.1850586
92432930798521,1,0.49780273,-8.59375,0.8305664
92432909022522,2,197.875,7.796875,-332
92432898912906,3,-0.15002441,1.5117188,0.12237549
92432940698521,1,0.00957489,-9.6796875,1.3183594
92432919022522,2,197.25,7.1992188,-332.5
92432908912906,3,-0.64990234,1.4384766,0.05532837
92432950598521,1,-0.2010498,-10.046875,1.6035156
92432929022522,2,197.25,7.1992188,-332.5
92432918912906,3,-0.9946289,1.2861328,0.0287323
92432960498521,1,-0.6435547,-10.1484375,1.2685547
92432939022522,2,198.75,6.5976562,-330.5
92432928912906,3,-1.0683594,1.2011719,-0.010635376
92432970398521,1,-1.5986328,-10.4921875,0.9121094
92432949022522,2,198.75,6.5976562,-330.5
92432938912906,3,-1.0517578,1.1503906,0.0021266937
92432980298521,1,-2.0585938,-10.421875,0.9428711
92432959022522,2,197.5,6,-329.5
92432948912906,3,-0.9628906,1.1220703,0.05532837
92432990198521,1,-1.8740234,-9.765625,0.69384766
